ProbeID,GeneSymbol,EntrezGene,UniGene,Cytoband,logFC.MycEffect,MycEffect.adjustp, Control 1 , Control 2 , Control 3 , Control 4 , Myc 1 , Myc 2 , Myc 3 , Myc 4 
A_51_P434426,Rwdd4a,192174,Mm.273081,mm|8qB1.1,0.77,0.089,8.983,8.667,8.816,8.868,9.452,8.852,9.215,9.253
A_52_P543824,Sfrs6,67996,Mm.24042,mm|2qH2,0.77,0.094,10.102,9.754,9.935,9.886,10.296,10.318,10.479,10.429
A_52_P142170,Larp1,73158,Mm.248843,mm|11qB1.3,0.77,0.095,12.315,12.042,12.057,12.237,13.27,12.844,13.177,13.115
A_51_P142346,Fancm,104806,Mm.374847,mm|12qC1,0.76,0.002,7.453,7.37,7.167,7.381,8.217,7.883,7.872,8.258
A_51_P143528,Zfp184,193452,Mm.187446,mm|13qA3.1,0.76,0.003,6.153,6.204,6.433,6.428,7.302,7.255,7.258,7.231
A_52_P1133481,LOC675467,675467,,mm|14qA1,0.76,0.004,5.986,5.813,5.926,5.806,7.324,7.106,7.473,7.65
A_52_P118640,Elavl1,15568,Mm.119162,mm|8qA1.1,0.76,0.012,12.277,12.246,12.193,12.499,12.965,12.948,13.07,13.176
A_51_P286460,Hist1h2ae,319166,Mm.261665,mm|13qA3.1,0.76,0.036,6.261,6.17,6.392,6.124,7.165,7.099,6.865,7.24
A_52_P349467,Tmlhe,192289,Mm.394228,,0.76,0.052,7.823,7.761,7.662,7.671,8.858,8.653,9.197,9.064
A_51_P470724,Eif2s2,67204,Mm.377134,mm|2qH1,0.76,0.074,11.159,10.898,11.273,11.294,11.303,11.591,11.836,11.618
A_52_P431199,Ccdc72,66167,Mm.379103,mm|9qF2,0.76,0.096,10.731,10.763,11.03,10.903,11.6,11.503,11.796,11.959
A_51_P520966,Icosl,50723,Mm.17819,mm|10qC1,0.75,0.005,6.534,6.641,6.55,6.629,8.177,7.745,7.836,8.066
A_52_P497595,Mipol1,73490,Mm.268180,mm|12qC1,0.75,0.005,7.542,7.747,7.575,7.623,9.043,8.803,9.095,8.858
A_51_P209914,Rpgr,19893,Mm.247556,mm|XqA1.1,0.75,0.01,6.715,6.718,6.846,6.741,8.07,7.827,7.554,8.026
A_52_P204864,,NA,Mm.85388,mm|14qD1,0.75,0.04,5.877,5.946,5.883,6.032,6.988,6.786,6.89,6.904
A_51_P162624,Sac3d1,66406,Mm.303924,mm|19qA,0.75,0.049,10.177,10.099,10.188,10.233,11.47,11.177,11.144,11.247
A_51_P159746,2610020O08Rik,67050,Mm.55422,mm|XqA3.1,0.75,0.049,7.368,7.336,7.374,7.311,8.551,8.462,8.588,8.542
A_52_P495699,BC050092,235048,Mm.292381,mm|9qA3,0.75,0.052,6.967,6.782,6.433,6.405,7.704,7.362,7.598,7.663
A_51_P494646,Rtn3,20168,Mm.246990,mm|19qA,0.74,0.004,11.406,11.294,11.295,11.494,12.381,12.285,12.329,12.649
