pathway	NOP2	CHROMATIN_ORGANIZATION
TCGA.DD.AAEE.01A.11R.A41C.07	4.580812493	-0.101032979
TCGA.GJ.A6C0.01A.12R.A311.07	4.579211628	-0.23822777
TCGA.BC.A69H.01A.11R.A311.07	4.578111062	-0.205258865
TCGA.2Y.A9GW.01A.11R.A38B.07	4.567182381	-0.36166472
TCGA.DD.AACO.01A.11R.A41C.07	4.55197135	-0.338436155
TCGA.G3.A3CK.01A.11R.A213.07	4.550461117	-0.131667246
TCGA.ZP.A9CV.01A.11R.A38B.07	4.533653809	-0.143948641
TCGA.DD.A39W.01A.11R.A213.07	4.53047886	0.083128112
TCGA.T1.A6J8.01A.11R.A32O.07	4.530108853	-0.302932617
TCGA.2Y.A9H3.01A.11R.A38B.07	4.522106034	-0.383949924
TCGA.DD.AAE4.01A.11R.A41C.07	4.519208912	-0.365036918
TCGA.G3.A25T.01A.11R.A16W.07	4.517463851	-0.205038135
TCGA.DD.AAE3.01A.11R.A41C.07	4.516323479	-0.43228761
TCGA.WQ.AB4B.01A.11R.A41C.07	4.515949734	-0.358636105
TCGA.FV.A3R3.01A.11R.A22L.07	4.511568268	-0.265953875
TCGA.PD.A5DF.01A.11R.A27V.07	4.508927642	-0.241291223
TCGA.EP.A2KA.01A.11R.A180.07	4.503921158	-0.195480592
TCGA.G3.AAV0.01A.11R.A37K.07	4.500357919	-0.26541282
TCGA.BC.A10S.01A.22R.A131.07	4.498806284	-0.261215183
TCGA.DD.AACD.01A.11R.A41C.07	4.497724051	-0.300184418
TCGA.BW.A5NO.01A.11R.A27V.07	4.493598124	-0.26997104
TCGA.EP.A3RK.01A.11R.A22L.07	4.491500378	-0.272812506
TCGA.DD.AAC9.01A.11R.A41C.07	4.484716638	-0.44614734
TCGA.DD.AACB.01A.11R.A41C.07	4.471457226	-0.127425138
TCGA.2Y.A9H4.01A.11R.A38B.07	4.465343045	-0.29026092
TCGA.ES.A2HT.01A.12R.A180.07	4.460582155	-0.407797945
TCGA.DD.A73G.01A.22R.A32O.07	4.458514648	-0.350305727
TCGA.DD.AACC.01A.11R.A41C.07	4.451548226	-0.323220073
TCGA.G3.A5SI.01A.31R.A27V.07	4.450552221	0.031360989
TCGA.G3.A3CJ.01A.11R.A213.07	4.449162806	-0.200824976
TCGA.BC.A5W4.01A.11R.A28V.07	4.445592546	-0.250764759
TCGA.BC.A217.01A.11R.A155.07	4.438390594	-0.10203774
TCGA.BC.A69I.01A.11R.A311.07	4.432486122	-0.222097396
TCGA.DD.AACY.01A.11R.A41C.07	4.425747386	-0.120853724
TCGA.FV.A495.01A.11R.A266.07	4.417957117	-0.414392439
TCGA.FV.A2QR.01A.11R.A213.07	4.381295443	-0.117276528
TCGA.G3.A25Z.01A.11R.A16W.07	4.363987392	-0.359623649
TCGA.CC.5262.01A.01R.A131.07	4.029635573	-0.323795794
TCGA.2Y.A9H1.01A.11R.A38B.07	4.029635573	-0.35086436
TCGA.BD.A2L6.01A.11R.A213.07	4.029635573	-0.163883092
TCGA.DD.AAVU.01A.11R.A41C.07	4.029635573	-0.260263908
TCGA.DD.AADJ.01A.11R.A41C.07	4.029635573	-0.222489811
TCGA.G3.AAUZ.01A.11R.A38B.07	4.029635573	-0.289753205
TCGA.DD.AACI.01A.11R.A41C.07	4.029635573	-0.373748844
TCGA.DD.AAEB.01A.11R.A41C.07	4.029635573	-0.300213471
TCGA.DD.A39Z.01A.11R.A213.07	4.029635573	-0.226367704
TCGA.DD.A3A3.01A.11R.A22L.07	4.029635573	-0.341450374
TCGA.DD.A119.01A.11R.A131.07	4.029635573	-0.301773973
TCGA.ES.A2HS.01A.11R.A180.07	4.029635573	-0.305249758
TCGA.DD.A3A1.01A.11R.A213.07	4.029635573	-0.318223903
